group,replicate,fastq_1,fastq_2,strandedness
CT30_TSC_L1,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L001_ds.0f1721d86b7844e28bce6831a1ea0d48/CT30-TSC_S13_L001_R1_001.fastq.gz, ,reverse
CT30_TSC_L2,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L002_ds.e5d5718340114bcda07510d8234e67ae/CT30-TSC_S13_L002_R1_001.fastq.gz, ,reverse
CT30_TSC_L3,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L003_ds.81b28821870e46e690a508cfed38c8f2/CT30-TSC_S13_L003_R1_001.fastq.gz, ,reverse
CT30_TSC_L4,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L004_ds.c4fa5997a79c46d0aface6138e279b63/CT30-TSC_S13_L004_R1_001.fastq.gz, ,reverse
R053_org_EVT_L1,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L001_ds.24665c0fee89465d803285b6597eca84/R053-org-EVT_S28_L001_R1_001.fastq.gz, ,reverse
R053_org_EVT_L2,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L002_ds.8c82fb75753145d3af5498b6f0934efa/R053-org-EVT_S28_L002_R1_001.fastq.gz, ,reverse
R053_org_EVT_L3,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L003_ds.92ecdeed55874640893a377b8913d45d/R053-org-EVT_S28_L003_R1_001.fastq.gz, ,reverse
R053_org_EVT_L4,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L004_ds.22ad9d1ac3254ed8a579e25aa1c31164/R053-org-EVT_S28_L004_R1_001.fastq.gz, ,reverse
R053_org_TOM_L1,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L001_ds.8b9b1857c1604a7cb7826a9ef3495dba/R053-org-TOM_S27_L001_R1_001.fastq.gz, ,reverse
R053_org_TOM_L2,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L002_ds.bf4bd52ee90c42e8af35a186168cd240/R053-org-TOM_S27_L002_R1_001.fastq.gz, ,reverse
R053_org_TOM_L3,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L003_ds.abeb9e661ca54dbfacf85e1cd14d5c81/R053-org-TOM_S27_L003_R1_001.fastq.gz, ,reverse
R053_org_TOM_L4,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L004_ds.31337581725549b3bf426c2b7cd4f3d3/R053-org-TOM_S27_L004_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L001_ds.dc2577cac4aa4e1484449043270974ae/W002-2D-fluffy_S34_L001_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L002_ds.58e7e285c5fb4f0e9e7b16bc8596ae75/W002-2D-fluffy_S34_L002_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L003_ds.032c6f89fe8e4667b0b94638af5c5719/W002-2D-fluffy_S34_L003_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L004_ds.f4f6a00d6fdb4beba0b62818f690b913/W002-2D-fluffy_S34_L004_R1_001.fastq.gz, ,reverse
X011_org_EVT_L1,1,NGS_M_Sheridan_40616_run1/X011_org_EVT_L001_ds.15cf61c199304eb6803155a050d1ea09/X011-org-EVT_S22_L001_R1_001.fastq.gz, ,reverse
X011_org_EVT_L2,1,NGS_M_Sheridan_40616_run1/X011_org_EVT_L002_ds.49f6910c718e4585ab5fcf9a33c8af05/X011-org-EVT_S22_L002_R1_001.fastq.gz, ,reverse
